"case_id","party_number","victim_role","victim_sex","victim_age","victim_degree_of_injury","victim_seating_position","victim_safety_equip_1","victim_safety_equip_2","victim_ejected","local_report_number"
"9122596","3","2","M","21","6","4","L","C","0","2020-00023825"
"91464605","1","1","M","30","7","1","M","H","0","9370-2021-01118"
"91464605","1","2","M","27","7","3","L","G","0","9370-2021-01118"
"9201200","1","1","M","21","4","1","N","G","0","2020-00054026"
"9201232","1","2","F","61","0","5","M","C","0","2020-00053176"
"9187000","1","4","F","52","6","-","P","V","2","2020-00049524"
"9187012","1","2","M","43","0","3","M","G","-","2020-00047512"
"9084706","2","2","M","7","3","6","L","C","0","2020-00006113"
"9084706","2","2","F","16","0","4","M","-","0","2020-00006113"
"9122620","1","1","M","29","6","-","-","-","-","2020-00024257"
"9122640","2","1","F","63","5","1","L","G","0","2020-00022078"
"91274468","1","3","F","58","6","9","-","-","-","9370-2020-01746"
"9187012","2","1","M","28","7","1","M","G","0","2020-00047512"
"9187012","2","2","F","998","0","3","M","G","-","2020-00047512"
"91355837","2","2","F","14","7","5","P","G","0","9370-2020-02989"
"9144509","2","4","M","20","6","-","P","W","2","2020-00029913"
"9201880","2","1","M","43","6","1","L","G","0","2020-00052987"
"9188125","1","2","M","18","0","3","L","G","0","2020-00049306"
"9188125","2","1","M","37","4","1","G","-","0","2020-00049306"
"9188135","1","1","M","39","4","1","L","-","0","2020-00045355"
"9201200","2","1","M","36","4","1","N","G","0","2020-00054026"
"9099814","1","4","M","29","7","-","-","-","-","2020-00012975"
"9049348","2","2","M","62","7","1","M","G","0","2020-00002862"
"9049348","2","2","M","64","0","6","M","G","0","2020-00002862"
"91365005","2","1","M","48","7","1","M","G","0","9370-2020-03127"
"9136426","2","1","M","77","7","1","L","G","0","2020-00029164"
"9134054","2","4","M","50","7","-","-","-","-","2020-00018980"
"9218267","1","1","M","37","6","1","L","G","0","2020-00057289"
"9099816","2","1","M","52","6","1","M","G","0","2020-00012638"
"91247468","1","1","M","57","7","1","L","G","0","9370-2020-01338"
"9218726","1","2","F","22","0","3","L","-","-","2020-00058269"
"9136424","1","1","M","69","6","1","P","W","1","2020-00028488"
"9136426","1","1","F","74","7","1","L","G","0","2020-00029164"
"9090326","1","4","F","20","5","-","P","V","1","2020-00011449"
"9090328","1","1","M","87","5","1","L","G","0","2020-00008865"
"91276274","2","1","M","49","7","1","M","G","0","9370-2020-01817"
"91282098","1","1","F","55","7","1","M","G","0","9370-2020-01903"
"9218271","2","1","F","33","7","1","M","G","0","2020-00056567"
"9137806","1","1","F","23","4","1","M","G","0","2020-00035695"
"9090796","1","4","F","30","6","-","P","W","1","2020-00006461"
"91224956","2","1","M","36","7","1","M","G","0","9370-2020-01017"
"9114174","2","1","F","72","4","1","-","-","-","2020-00018833"
"91227317","1","1","M","54","7","1","M","G","0","9370-2020-01072"
"9161229","2","4","M","28","2","-","P","W","1","2020-00039262"
"9142729","2","1","M","38","6","1","M","G","0","2020-00032685"
"9122580","2","4","M","37","6","-","P","V","2","2020-00025732"
"9161636","2","4","M","49","3","-","P","-","-","2020-00037064"
"9107217","2","1","F","55","7","1","M","G","0","2020-00017418"
"9052970","1","2","F","21","0","3","M","G","0","2020-00000933"
"9078499","2","1","M","63","6","1","M","G","0","2020-00003330"
